d,x1,x2,x3,x4,TI_03,TI_15,vel_03,vel_15
8,0.55,0.1,1,0.1,0.128804541,0.160066696,0.698713,0.793516
9,0.55,0.1,1,0.1,0.11899002,0.156925464,0.705628,0.79476
10,0.55,0.1,1,0.1,0.110792866,0.154244795,0.711499,0.795747
1.2,0.55,0.1,1,2.05,0.338415726,0.238907036,0.623941,0.74624
2,0.55,0.1,1,2.05,0.272705815,0.208863079,0.670317,0.767728
3,0.55,0.1,1,2.05,0.227333299,0.190312881,0.700593,0.779761
4,0.55,0.1,1,2.05,0.198673137,0.179777267,0.718059,0.785833
5,0.55,0.1,1,2.05,0.17823559,0.172806267,0.729622,0.789498
6,0.55,0.1,1,2.05,0.162617022,0.167724965,0.737966,0.791981
7,0.55,0.1,1,2.05,0.150141643,0.163780794,0.744341,0.793783
8,0.55,0.1,1,2.05,0.139867703,0.160584953,0.74941,0.795144
9,0.55,0.1,1,2.05,0.131215326,0.157914609,0.753553,0.796194
10,0.55,0.1,1,2.05,0.123802116,0.155628875,0.75701,0.797016
1.2,0.55,0.1,1,4,0.273030364,0.231582217,0.685008,0.751812
2,0.55,0.1,1,4,0.22636069,0.204392918,0.720199,0.771228
3,0.55,0.1,1,4,0.194606717,0.187736954,0.74215,0.781942
4,0.55,0.1,1,4,0.174697596,0.178267909,0.75434,0.787373
5,0.55,0.1,1,4,0.160561889,0.171964556,0.762083,0.790701
6,0.55,0.1,1,4,0.1497853,0.167344173,0.767423,0.792982
7,0.55,0.1,1,4,0.141176984,0.163745979,0.771322,0.794642
8,0.55,0.1,1,4,0.134066066,0.16082637,0.774294,0.795891
9,0.55,0.1,1,4,0.128039989,0.15838639,0.776641,0.796848
10,0.55,0.1,1,4,0.122831332,0.156298277,0.778546,0.79759
1.2,0.55,2.05,0.1,0.1,0.111590149,0.198471478,0.794016,0.763927
